id,quality,description,total_attr_value,total_sum,monster_id,mintmark_class
40163,5,圣化萨瑞卡专属全能刻印,25 16 0 15 16 65,137,2356,
40164,4,摩多专属全能刻印,0 15 0 10 11 60,96,2380,
40165,4,火灵儿S专属全能刻印,0 12 12 12 0 55,91,2386,
40166,4,萨卡罗专属全能刻印,25 13 0 15 0 60,113,2384,
40167,4,圣奥斯卡专属全能刻印,30 17 0 17 0 55,119,2377,
40168,5,圣化托鲁克专属全能刻印,25 14 0 16 20 60,135,2388,
40169,3,尤曼斯专属全能刻印,20 0 0 0 15 50,85,2392,
40170,5,圣化斯蒂亚专属全能刻印,0 11 25 16 18 60,130,2393,
40171,3,奥古德专属全能刻印,0 14 0 16 0 55,85,2397,
40172,4,摩尔卡洛专属全能刻印,0 18 20 14 0 60,112,2395,
40173,5,圣化凯普特专属全能刻印,22 13 0 15 17 60,127,2400,
40174,5,圣化赛伯斯特专属全能刻印,0 17 24 18 18 60,137,2415,
40175,4,雅典娜专属全能刻印,0 17 23 0 16 60,116,2414,
40176,4,雅典娜专属全能刻印S,0 17 23 0 16 60,116,2414,
40177,5,圣化英普瑞斯专属全能刻印,0 15 25 21 18 60,139,2420,
40178,5,圣甲狂战专属全能刻印,30 16 0 13 17 60,136,2417,
40179,4,塔西姆专属全能刻印,20 19 0 19 0 55,113,2419,
40180,5,布恩穆尼专属全能刻印,23 17 0 21 15 65,141,2428,
40181,4,鲍尔特专属全能刻印,20 15 0 18 0 55,108,2425,
40182,4,洛格斯专属全能刻印,25 16 0 24 0 65,130,2431,
40183,5,圣甲地裂专属全能刻印,20 12 0 17 13 70,132,2432,
40184,4,贝露丝专属全能刻印,0 16 20 16 0 60,112,2440,
40185,5,玛维蒂专属全能刻印,24 17 0 20 18 65,144,2443,
40186,5,圣甲永夜专属全能刻印,22 18 0 15 18 60,133,2442,
40187,5,火舞天尊专属全能刻印,23 12 0 20 17 60,132,2438,
40188,4,拉姆塞专属全能刻印,27 13 0 14 0 60,114,2453,
40189,5,梵天专属全能刻印,29 18 0 14 20 60,141,2447 2911,
40190,4,陆逊专属全能刻印,0 19 21 15 0 60,115,2450,
40191,5,圣甲雷鸣专属全能刻印,22 12 0 15 20 60,129,2460,
40192,4,艾尼维亚专属全能刻印,0 14 17 14 0 55,100,2459,
40193,5,战武天尊专属全能刻印,23 18 0 15 14 60,130,2462,
40194,5,神耀·灭天S,27 23 14 0 10 70,144,,4
40195,5,神耀·战天S,23 18 14 0 18 60,133,,4
40196,5,神耀·破天S,32 27 0 14 13 40,126,,4
40197,5,伊修兰迪专属全能刻印,27 25 0 23 23 75,173,2465,
40198,5,神·炎魔专属全能刻印,25 19 0 21 18 65,148,2464,
40199,5,斯凯尔托斯专属全能刻印,27 26 0 21 20 70,164,2476,
40200,5,冥王夜刃专属全能刻印,25 18 0 26 18 60,147,2487,
40201,4,创世圣弓专属全能刻印,0 18 0 15 14 55,102,2488,
40202,5,神·鱼龙王专属全能刻印,0 20 25 19 18 65,147,2485,
40203,5,貂蝉专属全能刻印,23 21 0 17 16 60,137,2479,
40204,5,貂蝉专属全能刻印S,23 21 0 17 16 60,137,2479,
40205,5,圣甲幻瞳专属全能刻印,0 21 25 15 16 60,137,2478,
40206,4,创世圣翼专属全能刻印,0 18 0 13 15 55,101,2489,
40207,5,冥王断空专属全能刻印,23 23 0 16 20 60,142,2491,
40208,5,将神·吕布专属全能刻印,29 13 0 17 17 65,141,2496,
40209,5,冥王破天专属全能刻印,22 22 0 24 16 60,144,2503,
40210,5,格莱奥丹专属全能刻印,25 20 0 22 18 70,155,2499,
40211,5,神威马超专属全能刻印,24 20 0 23 19 60,146,2500,
40212,4,创世圣戒专属全能刻印,20 13 0 15 0 55,103,2497,
40213,4,创世圣甲专属全能刻印,22 25 0 10 0 55,112,2510,
40214,5,焱武圣尊专属全能刻印,23 16 0 16 17 60,132,2508,
40215,5,冥王苍月专属全能刻印,24 19 0 24 18 60,145,2505,
40216,5,昭烈帝刘备专属全能刻印,24 21 0 15 18 60,138,2512,
40217,5,诺伊尔顿专属全能刻印,25 20 0 17 17 65,144,2509,
40218,5,冥帝修罗专属全能刻印,27 19 0 28 20 65,159,2517,
40219,5,潘多拉专属全能刻印A,0 19 27 17 20 65,148,2518,
40220,5,影战·萨格罗斯专属全能刻印,29 14 0 11 19 68,141,2516,
40221,5,潘多拉专属全能刻印B,0 22 27 20 20 65,154,2518,
40222,4,创世圣盾专属全能刻印,23 15 0 30 0 55,123,2519,
40223,5,武圣·关羽专属全能刻印,25 19 0 24 22 65,155,2520,
40224,5,诸葛亮专属全能刻印,0 19 25 24 20 60,148,2522,
40225,5,卧龙诸葛专属全能刻印,0 19 25 24 20 60,148,2523,
40226,5,魔眼凯兮专属全能刻印,0 16 27 11 17 60,131,2521,
40227,5,幻天·萨格罗斯专属全能刻印,27 13 0 21 20 68,149,2524,
40228,4,创世圣剑专属全能刻印,24 20 0 20 0 55,119,2525,
40229,5,万人敌张飞专属全能刻印,23 22 0 25 20 60,150,2530,
40230,5,赤瞳缪斯专属全能刻印,0 20 25 18 17 63,143,2527,
40231,5,八部天龙专属全能刻印,0 23 25 13 18 64,143,2537,
40232,5,超合金塔克林专属全能刻印,25 21 0 21 10 65,142,2536,
40233,5,龙魂·塔克林专属全能刻印,24 20 0 20 11 59,134,2535,
40234,4,萨恩德斯专属全能刻印,0 25 0 20 17 55,117,2533,
40235,5,九天圣龙专属全能刻印,25 11 0 19 18 60,133,2541,
40236,4,摩耶斯特专属全能刻印,0 17 22 0 16 55,110,2542,
40237,5,龙魂·塔西亚专属全能刻印,0 29 23 15 13 61,141,2543,
40238,5,青龙之心,0 19 28 17 19 85,168,2545,
40239,5,龙神·哈克萨斯专属全能刻印,26 18 0 24 18 70,156,2546,
40240,5,龙魂·塞维尔专属全能刻印,23 19 0 27 15 65,149,2547,
40241,5,格罗姆专属全能刻印,24 19 0 23 13 60,139,2549 2562,
40242,5,格罗姆专属全能刻印S,24 19 0 23 13 60,139,2549 2562,
40243,4,万圣夜王专属全能刻印,0 20 22 16 0 55,113,2551,
40244,5,乾坤战神昆仑专属全能刻印,23 20 0 20 16 65,144,2556,
40245,4,兰帕德斯专属全能刻印,20 20 0 0 13 60,113,2552,
40246,5,雷霆虎卫专属全能刻印,22 22 0 17 18 60,139,2555,
40247,5,傲世战魂专属全能刻印,24 21 0 17 18 65,145,2553,
40248,5,烈战虎卫专属全能刻印,23 21 0 19 18 60,141,2558,
40249,4,杰洛里德专属全能刻印,22 0 0 17 15 60,114,2557,
40250,5,震天•猛虎王专属全能刻印,25 28 0 28 15 65,161,2563,
40252,5,惊天战魂专属全能刻印,0 21 25 19 17 65,147,2559,
40253,5,凯尔大帝专属全能刻印,0 20 27 19 15 65,146,2548,
40254,4,泽拉瑞尔专属全能刻印,21 20 0 0 14 60,115,2565,
40255,5,圣虎湮光专属全能刻印 ,24 17 0 21 16 65,143,2566,
40256,5,龙胆枪魂专属全能刻印 ,22 19 0 20 17 60,138,2567,
40257,5,灭世战魂专属全能刻印,0 20 23 20 19 65,147,2568,
40258,5,斗神瑞尔斯专属全能刻印,26 21 0 21 21 65,154,2580,
40259,4,吉亚克鲁专属全能刻印,20 21 0 0 15 60,116,2572,
40260,4,乔卡利特专属全能刻印,22 21 0 0 14 60,117,2571,
40261,5,龙胆将军专属全能刻印,25 20 0 19 22 65,151,2575 2576,
40262,5,神将黄忠专属全能刻印,0 20 24 19 16 65,144,2574,
40263,5,神将黄忠专属全能刻印S,0 20 24 19 16 65,144,2574,
40264,5,圣刃•神力号专属全能刻印,25 23 0 20 18 65,151,2586,
40265,5,净天云神专属全能刻印,23 22 0 22 19 65,151,2585,
40266,4,赫尔托罗克专属全能刻印,0 21 0 19 15 60,115,2584,
40267,5,白虎利刃,40 21 0 21 20 70,172,2581,
40268,5,强袭•勇气号专属全能刻印,24 21 0 21 18 65,149,2594,
40269,4,奥杜萨专属全能刻印,0 20 0 20 14 60,114,2590,
40270,5,绝影•孤星专属全能刻印,25 22 0 20 19 65,151,2593,
40271,5,冰影天骑专属全能刻印,25 19 0 23 18 65,150,2599,
40272,5,格林奇专属全能刻印,0 23 21 23 14 60,141,2597,
40273,5,绝影•天煞专属全能刻印,24 20 0 22 19 65,150,2598,
40274,4,尤比希斯专属全能刻印,0 19 0 19 14 60,112,2596,
40275,5,天火•烈焰号专属全能刻印,0 22 24 20 18 65,149,2606,
40276,5,布鲁克林专属全能刻印,0 20 21 20 15 60,136,2603,
40277,4,攻击型TOH专属全能刻印,0 18 0 19 14 60,111,2601,
40278,5,绝影•无邪专属全能刻印,0 21 24 22 18 65,150,2605,
40279,5,圣光灵王专属全能刻印,29 15 0 15 21 69,149,2607 2873,
40280,5,九霄雷影专属全能刻印,25 22 0 20 17 65,149,2611,
40281,5,邪影之尊专属全能刻印,27 20 0 18 20 65,150,2612,
40282,5,贝迪恩斯专属全能刻印,0 20 21 20 15 60,136,2609,
40283,4,劳肯特蒙德专属全能刻印,0 19 0 18 14 60,111,2610,
40284,5,幻草灵狮专属全能刻印,0 20 24 19 16 65,144,2618,
40285,5,朵瑞斯特专属全能刻印,24 22 0 22 18 65,151,2619,
40286,5,邪冥兽专属全能刻印,25 23 0 21 18 68,155,2620,
40287,4,提亚戈斯专属全能刻印,0 18 0 19 14 60,111,2616,
40288,5,混沌大天使专属全能刻印,0 23 24 21 18 65,151,2626,
40289,5,暗黑鲁斯王专属全能刻印,25 23 0 23 15 65,151,2625,
40290,5,布雷兹德专属全能刻印,25 22 0 21 18 65,151,2632,
40291,5,暗黑蒙娜丽莎专属全能刻印,0 22 24 24 15 65,150,2631,
40292,4,探险家的训练刻印,17 0 17 0 15 55,104,,6
40293,4,典狱长的破碎刻印,0 17 0 17 15 55,104,,6
40294,5,炎龙圣皇专属全能刻印,25 22 0 22 19 65,153,2640,
40295,5,丘比特专属全能刻印,0 20 24 20 16 65,145,2638,
40296,5,丘比特专属全能刻印S,0 20 24 20 16 65,145,2638,
40297,5,光辉•米瑞斯专属全能刻印,0 21 24 22 18 65,150,2639,
40298,5,暗黑炽焰金刚专属全能刻印,23 20 0 20 16 65,144,2637,
40299,5,乱斗骑士专属全能刻印,22 20 0 20 15 65,142,2642,
40300,5,奥丁专属全能刻印,24 22 0 22 18 65,151,2647,
40301,5,咤克斯专属全能刻印,0 21 26 21 22 65,155,2648,
40302,5,克洛伊专属全能刻印,23 20 0 20 16 60,139,2646,
40303,5,神耀·霸天,0 18 24 14 13 45,114,,4
40304,5,神·始祖灵兽全能刻印,0 23 24 23 15 65,150,2662,
40305,5,女神·雅典娜专属全能刻印,0 22 24 22 18 65,151,2661,
40306,5,剑皇专属全能刻印,24 20 0 20 18 65,147,2651,
40307,5,魔化克雷斯专属全能刻印,24 20 0 20 18 65,147,2660,
40308,5,天邪龙王专属全能刻印,26 20 0 20 21 65,152,2652,
40309,5,神谕龙骑专属全能刻印,24 20 0 20 18 65,147,2665,
40310,5,不动明王专属全能刻印,26 21 0 21 21 65,154,2667,
40311,5,神炎专属全能刻印,25 21 0 21 19 65,151,2666,
40312,5,神耀·斗天S,0 14 32 27 13 40,126,,4
40313,5,朱雀超进化专属全能刻印,0 21 27 21 18 70,157,2676,
40314,5,瞳神•耶里梅斯专属全能,24 21 0 20 16 65,146,2672,
40315,5,星界祖皇专属全能刻印,0 21 25 21 19 65,151,2674,
40316,5,魂·斩月专属全能刻印,0 20 24 19 16 65,144,2673 2693,
40317,5,魂·斩月专属全能刻印S,0 20 24 19 16 65,144,2673 2693,
40318,5,青龙超进化专属全能刻印,0 19 25 17 17 75,153,2545,
40319,5,白虎超进化专属全能刻印,30 21 0 21 18 70,160,2581,
40320,5,玄武超进化专属全能刻印,25 25 0 25 18 70,163,3010,
40321,5,麒麟超进化专属全能刻印,30 22 0 22 18 70,162,3011,
40322,5,凤凰鳞羽,0 21 30 21 22 70,164,2676,
40323,5,玄元风神专属全能刻印,0 22 21 22 18 65,148,2680,
40324,5,神·阿波罗专属全能刻印,24 22 0 22 18 65,151,2681,
40325,5,埃尔文达专属全能刻印,0 21 23 20 17 65,146,2683,
40326,5,麦卡威专属全能刻印,0 20 21 20 16 60,137,2685,
40327,5,深海女武神专属全能刻印,0 22 24 22 18 65,151,2687,
40328,5,司马懿专属全能刻印,0 22 24 22 18 65,151,2696,
40329,4,萨奥森专属全能刻印,0 18 0 19 14 60,111,2689,
40330,5,圣瞳·天蛇太祖专属全能刻印,0 21 25 21 19 65,151,2695,
40331,5,太古邪灵专属全能刻印,0 21 23 21 18 65,148,2697,
40332,5,太古邪魔专属全能刻印,23 21 0 21 18 65,148,2701,
40333,4,霸王龟专属全能刻印,0 18 0 19 14 60,111,2698,
40334,5,圣剑·缪斯专属全能刻印,0 21 24 21 19 65,150,2703,
40335,5,伊泽雷尔专属全能刻印,24 22 0 22 18 65,151,2702,
40336,5,菲格罗亚专属全能刻印,22 20 0 19 17 65,143,1983,
40337,5,异天魔君专属全能刻印,0 21 23 21 18 65,148,2712,
40338,4,鲁比豪克专属全能刻印,0 18 0 19 14 60,111,2705,
40339,5,神·哈迪斯全能刻印,0 21 24 21 19 65,150,2713,
40340,5,太古邪神专属全能刻印,0 21 23 21 18 65,148,2709,
40341,5,圣光•奥尔德全能刻印,0 21 25 21 19 65,151,2710,
40342,5,雪色麒麟专属全能刻印,0 20 22 19 16 65,142,2707,
40343,5,雪色麒麟专属全能刻印S,0 20 22 19 16 65,142,2707,
40344,5,Z专属全能刻印,22 21 0 20 17 65,145,2708,
40345,5,暗金炎魔王专属全能刻印 ,24 22 0 22 19 70,157,2363,
40346,5,德马克专属全能刻印,24 22 0 22 18 65,151,2719,
40347,5,究影魔天专属全能刻印,23 23 0 23 18 65,152,2718,
40348,5,幻世帝天专属全能刻印,24 22 0 22 18 65,151,2723,
40349,5,幻影蝶专属全能刻印,21 24 0 24 18 65,152,2724,
40350,5,噬神狂天专属全能刻印,24 22 0 22 18 65,151,2728,
40351,5,扎尔瑟隆专属全能刻印,0 22 24 22 18 65,151,2729,
40352,4,月•生命,0 18 0 18 14 75,125,,7
40353,4,月•时间,0 13 0 13 21 50,97,,7
40354,4,月•壁垒,0 27 0 27 10 60,124,,7
40355,4,月•利刃,35 13 0 13 0 50,111,,7
40356,4,月•魔刃,0 13 35 13 0 50,111,,7
40357,5,艾恩斯专属全能刻印,25 21 0 21 19 70,156,2739,
40358,5,至尊无天专属全能刻印,25 22 0 22 18 65,152,2734,
40359,5,兰斯洛特专属全能刻印,24 22 0 22 19 65,152,2736,
40360,5,初夏专属全能刻印,0 20 24 19 16 65,144,2733,
40361,5,魔化青火龙专属全能刻印,0 19 21 18 16 60,134,2732,
40362,4,天河神将专属全能刻印,0 18 0 19 14 60,111,2735,
40363,5,斯内普专属全能刻印,0 22 24 22 18 65,151,2744,
40364,5,格拉狄奥斯专属全能刻印,24 22 0 22 18 65,151,2746,
40365,5,影忍·黑段专属全能刻印,22 21 0 21 17 65,146,2747,
40366,5,魔化雷霆龙全能刻印,21 19 0 18 16 60,134,2743,
40367,4,沙鲁吉奥拉专属全能刻印,0 18 0 19 14 60,111,2742,
40368,5,魔化星灵龙专属全能刻印,21 19 0 18 16 60,134,2750,
40369,5,火忍·浓信专属专属全能刻印,0 21 22 21 17 65,146,2753,
40370,5,麦索瑞尔专属全能刻印,24 22 0 22 18 65,151,2754,
40371,5,吉罗德专属全能刻印,24 22 0 22 18 65,151,2752,
40372,5,魔化木灵龙专属全能刻印,0 19 21 18 16 60,134,2755,
40373,5,阿米尔专属全能刻印,0 22 24 22 18 65,151,2757,
40374,5,万妖王·摩哥斯专属全能刻印,0 23 24 23 19 65,154,2758,
40375,5,镇魂·猛虎王专属全能刻印,25 28 0 28 15 65,161,2761,
40376,5,加百利专属全能刻印,24 22 0 22 18 65,151,2760,
40377,5,木忍·加楠专属全能刻印,22 21 0 21 17 65,146,2759,
40378,4,天狐·勾玉专属全能刻印,0 22 23 0 16 65,126,2766,
40379,5,真龙·无上专属全能刻印,24 23 0 23 19 65,154,2769,
40380,5,张辽专属全能刻印,24 20 0 19 16 65,144,2770,
40381,5,忍王·壬无月专属全能刻印,24 23 0 23 19 65,154,2771,
40382,5,魔化冰角龙专属全能刻印,0 19 21 18 16 60,134,2773,
40383,5,光火裁决者专属全能刻印,0 22 24 22 18 65,151,2776,
40384,5,妖皇兰蒂斯专属全能刻印,0 23 24 23 19 65,154,2777,
